spkid a e i om w ma epoch diameter spec_B
2000016 2.922775574 0.133531208 3.096559879 150.0406823 229.0268171 7.048521059 2459000.5 226 X
2000021 2.435272006 0.163389805 3.063966749 80.86663293 249.9973066 87.97582348 2459000.5 95.76 Xk
2000022 2.910347528 0.098049766 13.70173622 66.0046455 357.2564762 274.6358419 2459000.5 167.536 X
2000044 2.424859145 0.14799278 3.710079489 131.494749 343.8645059 186.5544324 2459000.5 70.64 Xc
2000046 2.525194782 0.172301751 2.350036415 181.0771636 177.3830394 168.1565818 2459000.5 131.471 Xc
2000055 2.760437589 0.143246422 7.17940419 10.36964233 5.385958668 86.99154515 2459000.5 84.794 X
2000056 2.596709989 0.238393693 8.080138426 192.9749877 104.9898161 340.841858 2459000.5 121.333 Xk
2000064 2.683409425 0.125217135 1.309846319 309.0971616 179.2244559 128.0718466 2459000.5 58.292 Xe
2000065 3.424837725 0.112046013 3.564035446 155.6184006 102.830308 323.0142316 2459000.5 237.26 Xc
2000069 2.976822652 0.170260304 8.590967393 184.9850105 289.1127747 17.89713811 2459000.5 138.13 X
2000071 2.755692235 0.173205826 23.26531478 316.0050395 267.070199 350.1222961 2459000.5 83.42 Xe
2000075 2.673994297 0.303521899 4.991511747 359.3390469 339.3368139 52.0091084 2459000.5 62.377 Xk
2000076 3.414264879 0.166010853 2.121333842 204.3009575 252.2670098 346.7613476 2459000.5 145.423 X
2000077 2.668864037 0.132557844 2.422694506 1.14456383 61.78325065 13.87223727 2459000.5 61.39 Xe
2000083 2.431964225 0.081298689 4.963774681 27.72641336 168.5949555 333.5711095 2459000.5 110.503 X
2000087 3.482070736 0.093403616 10.87598592 73.04063802 263.5897265 153.4227032 2459000.5 253.051 X
2000092 3.1851789 0.104862649 9.93202216 101.5803166 239.0702968 249.1220812 2459000.5 126.42 Xc
2000099 2.664873397 0.194961049 13.84752102 41.51414478 195.7124939 334.9314339 2459000.5 67.354 Xk
2000107 3.49059289 0.065108845 10.0014532 172.5826385 306.397008 27.12007451 2459000.5 210.37 X
2000110 2.733551158 0.081363268 5.962488936 56.86235061 282.5433181 294.8461639 2459000.5 86.09 X
2000114 2.678060928 0.13675373 4.940905686 164.0738305 352.7671835 151.2944134 2459000.5 94.178 Xk
2000117 2.992997487 0.026769669 14.89920757 348.737096 50.3619326 226.3618939 2459000.5 208.974 X
2000125 2.743653518 0.077941812 4.664196804 168.9812294 110.0107019 250.8239056 2459000.5 48.418 X
2000129 2.87035858 0.212593821 12.26692889 135.6670023 111.2466528 21.05579473 2459000.5 113 X
2000131 2.431897276 0.067371237 4.960887429 65.6561804 160.6156449 293.1022356 2459000.5 31.337 Xc
2000132 2.608140003 0.38955942 24.99379199 258.3925113 255.1758735 6.022924569 2459000.5 42.87 Xe
2000135 2.428364053 0.206906605 2.303866066 343.5718893 340.1813407 82.26722833 2459000.5 79.24 Xk
2000136 2.287367628 0.085300042 9.577564035 186.4300655 132.5611778 331.2585988 2459000.5 36.893 Xe
2000139 2.781680954 0.174553974 10.90937395 1.817387934 165.6082666 357.6701106 2459000.5 151.116 X
2000140 2.734694958 0.214140102 3.185538923 107.1777392 196.8152912 145.7487006 2459000.5 109.79 Xc
2000143 2.760501856 0.074151432 11.44438007 332.9805554 252.3411593 167.1293025 2459000.5 95.377 Xc
2000153 3.979001314 0.140283377 7.824732846 228.131892 39.05005486 224.9811884 2459000.5 170.63 X
2000161 2.379611763 0.137559115 9.057056938 18.56556407 294.6780921 5.096482655 2459000.5 40.992 Xc
2000164 2.631445926 0.34679237 24.47377875 76.81450179 284.0296546 182.5899794 2459000.5 100.254 X
2000166 2.684202122 0.211887942 12.02987232 128.9157314 264.3227888 188.8844345 2459000.5 52.393 Xe
2000173 2.742915109 0.208922392 14.19806484 148.1681907 228.8328066 120.8690795 2459000.5 125.821 Xk
2000181 3.124488677 0.206790714 18.89346267 143.019864 318.9291749 281.9223382 2459000.5 115.383 Xk
2000184 3.186591877 0.065930397 1.14331972 331.561873 210.3939798 0.914984352 2459000.5 62.483 X
2000190 3.986862472 0.166707925 6.176684539 175.4558563 271.1249641 308.8280924 2459000.5 159 X
2000199 3.165432367 0.18054187 15.48087676 88.58171872 180.3554145 331.3054959 2459000.5 76.129 X
2000201 2.678166941 0.179237272 5.755872364 156.925266 180.7167833 34.34804669 2459000.5 85.877 X
2000209 3.148564467 0.05607269 7.168801208 0.653647603 249.507762 197.7457941 2459000.5 179.008 Xc
2000214 2.611486545 0.030749644 3.435857343 341.9708185 131.6899438 134.0017482 2459000.5 24.957 Xc
2000216 2.792816681 0.251069889 13.11461335 215.3476019 179.9841281 155.2355614 2459000.5 122 Xe
2000242 2.861050861 0.121666577 11.35143266 206.9095889 279.3236755 276.3860798 2459000.5 40.802 Xc
2000247 2.741242275 0.24523048 24.95110851 0.056803309 55.38107356 19.40871639 2459000.5 130.935 Xc
2000250 3.14334456 0.135284319 12.81952781 23.82582234 75.98942594 304.9785947 2459000.5 120.995 Xk
2000259 3.136485513 0.129952875 10.81386047 86.84567201 167.7410334 31.32227627 2459000.5 174.318 X
2000261 2.331614313 0.088704615 3.635932931 96.63003008 65.89685451 63.33967731 2459000.5 50.011 X
2000272 2.776974315 0.028145753 4.432579146 37.31718498 69.10159726 240.8571252 2459000.5 26.87 X
2000279 4.272880797 0.042519756 2.334382766 71.92000131 24.48354088 235.0558011 2459000.5 126.59 X
2000304 2.403461889 0.221518837 15.84636889 159.0237665 172.3499699 74.14347733 2459000.5 65.99 Xc
2000317 2.286630251 0.08503196 1.765722712 151.3479524 186.8883055 78.45916043 2459000.5 18.648 Xe
2000322 2.783240406 0.245653219 8.051712851 252.3675078 114.7307565 280.8036282 2459000.5 69.855 X
2000332 2.774153083 0.088073462 2.844655439 31.55964245 297.5986354 123.6895211 2459000.5 40.37 Xk
2000336 2.25221364 0.095872285 5.652410626 235.0317726 31.3303926 12.35485818 2459000.5 63.356 Xk
2000337 2.384928078 0.136224724 7.851797888 355.4117411 98.80605109 184.5421286 2459000.5 64.549 X
2000338 2.913339998 0.02154029 6.050119901 287.4193499 109.1378296 221.5936242 2459000.5 50.506 Xk
2000348 2.968083509 0.070605068 9.758933764 89.914278 13.86472878 291.0188205 2459000.5 82.82 X
2000359 2.727602269 0.157570266 6.771667734 6.054414556 338.2396416 270.5639904 2459000.5 43.89 X
2000363 2.747801368 0.071286723 5.946382532 64.74200592 296.1712498 136.0699696 2459000.5 97 X
2000375 3.125472671 0.104280183 15.94436906 336.4044679 341.3218176 8.26435506 2459000.5 216 Xc
2000393 2.780070051 0.330437969 14.87475272 212.4398771 90.71191518 111.1928862 2459000.5 116.191 Xc
2000396 2.742031469 0.160623452 2.550209169 249.9182629 21.61465042 26.04203391 2459000.5 39.242 Xe
2000399 3.050143281 0.075933007 13.11385854 346.1966892 193.4019499 154.6077984 2459000.5 39.566 X
2000409 2.576120048 0.072324567 11.26674283 242.1523035 353.3485927 234.5242325 2459000.5 171.012 Xc
2000413 2.585408907 0.341261203 18.727039 103.7146703 252.8255584 55.39130629 2459000.5 34.242 X
2000417 2.798367566 0.135845146 6.648260311 199.5046286 348.7934606 199.1942074 2459000.5 54.874 Xk
2000434 1.944392257 0.073838786 22.50907409 175.3048895 123.8685071 10.0452658 2459000.5 8.934 Xe
2000441 2.805213843 0.080709285 8.159100644 253.5226479 203.0894682 280.119224 2459000.5 65.131 Xk
2000476 2.650244596 0.07265951 10.92696956 286.3417336 1.092174706 236.2661636 2459000.5 138.493 X
2000504 2.722605363 0.215072115 12.89823302 104.4755063 248.2442908 49.95027151 2459000.5 30.438 X
2000507 3.154810023 0.100668573 9.498372786 293.430191 100.5042073 75.83188358 2459000.5 45.17 X
2000516 2.680938167 0.27188701 12.95920011 328.8015537 258.1911111 340.3112814 2459000.5 65.144 X
2000523 2.965350279 0.178529036 4.313127788 260.6192957 189.9836897 300.9720182 2459000.5 31.89 X
2000543 3.057232015 0.154096681 8.479481299 294.9667035 109.1959642 189.6019821 2459000.5 45.613 Xe
2000547 2.774284163 0.234931558 16.8584469 193.0722324 196.4699909 13.98316987 2459000.5 52.462 Xk
2000559 2.712155276 0.065562255 9.301958673 112.0647276 128.6706249 238.2330078 2459000.5 79.82 Xk
2000564 2.745543829 0.277406128 17.9917749 70.76109533 214.8453438 50.10446892 2459000.5 52.01 Xc
2000578 2.751530011 0.192325119 6.148787252 29.39541198 261.3117561 142.994076 2459000.5 69.29 Xc
2000581 3.211144484 0.033980738 21.89764614 102.4523609 26.28158856 266.7269717 2459000.5 61.481 Xk
2000598 2.761175815 0.250179202 12.22807861 91.52553732 292.1149237 104.2627746 2459000.5 78.237 X
2000604 3.153534308 0.196045332 4.412907876 12.06838513 28.63560608 238.9108115 2459000.5 64.536 Xc
2000626 2.573990747 0.242577562 25.36859328 341.6207653 43.47289495 251.6412202 2459000.5 73.236 Xc
2000627 2.901180947 0.058336581 6.473159851 142.4619588 177.2516521 157.9096269 2459000.5 38.018 X
2000629 3.140940205 0.156722811 9.246180634 86.49281397 37.16835168 178.2445075 2459000.5 35.087 X
2000634 3.047986603 0.181306551 12.29360115 133.2020724 220.5912612 355.7929491 2459000.5 74.017 X
2000671 3.091601399 0.066563884 8.028624076 0.500050097 90.43160264 103.7286909 2459000.5 60.604 Xk
2000678 2.573117107 0.219444117 6.094397039 281.1163955 121.234068 47.06602644 2459000.5 39.585 X
2000687 2.7206813 0.272684687 14.88013987 334.3395927 52.74842155 208.3114637 2459000.5 21.533 X
2000712 2.5749787 0.186648217 12.76279994 230.8201308 181.4288841 193.1867015 2459000.5 124.125 X
2000715 2.768570365 0.083122845 13.81771839 46.07596851 301.034139 130.6946484 2459000.5 25.458 X
2000718 3.057679989 0.198849267 6.926489547 38.53232073 174.5477379 263.1501277 2459000.5 70.911 X
2000731 2.987302099 0.141177496 10.68870761 46.13644577 288.6180647 201.0326476 2459000.5 34.597 Xe
2000739 2.737100181 0.143729038 20.66121533 136.5538113 45.19269815 221.7563544 2459000.5 104.517 X
2000741 2.719819252 0.070238912 8.413907018 100.7078956 61.77621642 317.1550875 2459000.5 29.64 X
2000757 2.372593903 0.109511532 8.169090241 22.50617508 43.81233619 151.3708718 2459000.5 32.894 Xk
2000759 2.618542037 0.205431031 19.90484672 318.3482615 0.924478546 79.52285471 2459000.5 52.926 X
2000771 2.654815309 0.246704376 14.88591096 217.9773889 228.1627615 226.7475233 2459000.5 29.322 X
2000779 2.663909574 0.227799421 14.58218411 283.7370685 49.12553685 301.4965913 2459000.5 80.572 X
2000781 3.216543529 0.117161644 19.15684791 138.0903676 156.1682499 301.3782736 2459000.5 72.927 Xc
2000789 2.686494866 0.148244947 10.77702235 232.6067823 43.80773277 18.94404704 2459000.5 22.483 X
2000792 2.62199929 0.131468292 8.62516345 265.0704345 227.5506159 280.1005383 2459000.5 61.804 X
2000796 2.63420471 0.320340951 19.05130797 33.18614855 329.5386779 263.8619048 2459000.5 43.58 X
2000815 2.658459487 0.075930266 13.86659356 57.05427087 58.44928541 34.03887699 2459000.5 16.869 Xe
2000844 3.204016372 0.069339977 8.776041402 348.6882203 353.1982036 92.23355055 2459000.5 42.154 X
2000860 2.79683291 0.106765465 13.2989122 309.3504649 21.72174566 182.5879948 2459000.5 34.561 X
2000866 3.123848618 0.052267356 8.661590178 91.06018086 263.2010473 34.54366392 2459000.5 78.061 X
2000872 2.731607453 0.078626684 7.374348391 194.7209187 18.01493796 313.3121787 2459000.5 34.431 X
