Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 12:59:59.999987	-4325219.145421083	588386.1651780872	-5384967.5272502955
2024-11-01 13:00:29.999985	-4404094.103481065	380118.90823546913	-5339538.58699303
2024-11-01 13:00:59.999983	-4478239.049911611	171443.40635397265	-5288359.119800867
2024-11-01 13:01:29.999981	-4547573.910163469	-37416.238764067486	-5231483.72142553
2024-11-01 13:02:00.000020	-4612023.797549887	-246235.96589804717	-5168972.990846129
2024-11-01 13:02:30.000018	-4671518.755617809	-454790.8686076838	-5100893.813289882
2024-11-01 13:03:00.000016	-4725994.3534578355	-662857.1108874801	-5027318.791099081
2024-11-01 13:03:30.000014	-4775391.404772766	-870211.0416918857	-4948326.499523105
2024-11-01 13:04:00.000013	-4819656.123887916	-1076629.7102171127	-4864001.328501203
2024-11-01 13:04:30.000011	-4858740.186750312	-1281891.1008475968	-4774433.398490594
2024-11-01 13:05:00.000009	-4892600.786559861	-1485774.367714376	-4679718.47029291
2024-11-01 13:05:30.000007	-4921200.683937554	-1688060.068625284	-4579957.848927362
2024-11-01 13:06:00.000005	-4944508.2515455885	-1888530.3981538985	-4475258.281592528
2024-11-01 13:06:30.000004	-4962497.513073611	-2086969.4196556367	-4365731.849770474
2024-11-01 13:07:00.000002	-4975148.176509834	-2283163.295984305	-4251495.855528604
2024-11-01 13:07:30.000000	-4982445.661617442	-2476900.5186690968	-4132672.702085972
2024-11-01 13:07:59.999998	-4984381.121541484	-2667972.135311091	-4009389.7687166533
2024-11-01 13:08:29.999996	-4980951.458475402	-2856171.974956053	-3881779.280069057
2024-11-01 13:08:59.999995	-4972159.333321169	-3041296.871188976	-3749978.1699933955
2024-11-01 13:09:29.999993	-4958013.169282014	-3223146.882709632	-3614127.9399660896
2024-11-01 13:09:59.999991	-4938527.149332921	-3401525.511116846	-3474374.512228078
2024-11-01 13:10:29.999989	-4913721.207519583	-3576239.915659082	-3330868.0777407326
2024-11-01 13:10:59.999987	-4883621.014044059	-3747101.1246791077	-3183762.9390917392
2024-11-01 13:11:29.999986	-4848257.954102597	-3913924.2434945684	-3033217.348482091
2024-11-01 13:11:59.999984	-4807669.100447834	-4076528.6584534287	-2879393.340935523
