Date and Time, UTC	        R.A., h_m_s	     Dec, deg_m_s	     Az, deg	     Elev, deg
2024-11-12 13:55:59.999987	22:39:34.757273	-105:-41:-10.751624	-121.15536720681595	15.762166408300589
2024-11-12 13:56:29.999986	22:54:36.853641	-102:-20:-0.789440	-119.67976716557368	20.405040508374693
2024-11-12 13:56:59.999984	23:14:51.863338	-98:-12:-58.317089	-117.50519751385268	26.460788468684218
2024-11-12 13:57:29.999982	23:43:24.506803	-92:-52:-43.851423	-113.96093659778171	34.72457509140414
2024-11-12 13:57:59.999980	0:25:3.399429	-85:-28:-23.996318	-107.16737485162257	46.33907963630766
2024-11-12 13:58:30.000019	1:24:29.789193	-74:-20:-49.337834	-89.83531778214437	61.675592518439245
2024-11-12 13:59:00.000017	2:35:20.377184	-56:-30:-1.687945	-33.41002847043924	71.65905677966904
2024-11-12 13:59:30.000015	3:29:7.681992	-29:-23:-25.981459	17.28060881343005	59.81053112388454
2024-11-12 14:00:00.000013	3:45:56.606745	0:21:50.828713	32.54092652827729	44.766962561267
2024-11-12 14:00:30.000012	3:39:46.391080	22:1:22.428663	38.782183876745385	33.58231287843521
2024-11-12 14:01:00.000010	3:27:37.625406	35:27:35.580028	42.12197944477396	25.616256976128
2024-11-12 14:01:30.000008	3:15:41.410179	44:4:24.962940	44.207103083520835	19.75095194922771
2024-11-12 14:02:00.000006	3:5:13.944942	50:2:7.246426	45.642592223368204	15.231743390219103
