Date and Time, UTC	        R.A., h_m_s	     Dec, deg_m_s	     Az, deg	     Elev, deg
2024-11-01 14:42:40.000008	14:54:58.618963	47:57:35.689165	-44.06974525392841	15.906895018198968
2024-11-01 14:42:49.999994	15:3:28.619785	48:5:29.879768	-44.38275772291004	17.2737555312859
2024-11-01 14:42:59.999980	15:12:38.966881	48:10:56.686491	-44.7335754916506	18.74139899291328
2024-11-01 14:43:10.000007	15:22:34.186782	48:13:18.098634	-45.12897851870291	20.323629732667104
2024-11-01 14:43:19.999993	15:33:19.188924	48:11:46.022745	-45.57746537108742	22.036550283710934
2024-11-01 14:43:30.000019	15:44:59.208035	48:5:19.624195	-46.0898457214563	23.89900454547712
2024-11-01 14:43:40.000005	15:57:39.636610	47:52:42.094958	-46.68005618934645	25.93295167159055
2024-11-01 14:43:49.999991	16:11:25.795576	47:32:16.838511	-47.3663878702947	28.163943566302596
2024-11-01 14:44:00.000017	16:26:22.543332	47:2:3.227859	-48.17329969652218	30.62145489361315
2024-11-01 14:44:10.000003	16:42:33.715877	46:19:32.359819	-49.134205496446455	33.338973891441526
2024-11-01 14:44:19.999989	17:0:1.426872	45:21:43.523039	-50.29593824357061	36.353685611281534
2024-11-01 14:44:30.000015	17:18:45.196153	44:5:2.996762	-51.72605845396766	39.705074808540346
2024-11-01 14:44:40.000001	17:38:41.035670	42:25:27.619905	-53.52536157420628	43.43163530810312
2024-11-01 14:44:49.999987	17:59:40.730891	40:18:36.354282	-55.85035825799624	47.56431700101396
2024-11-01 14:45:00.000013	18:21:31.495768	37:40:14.374099	-58.95549840131506	52.1138253341666
2024-11-01 14:45:09.999999	18:43:56.290862	34:26:53.315902	-63.276499307309386	57.04700322114222
2024-11-01 14:45:19.999985	19:6:34.983546	30:36:47.316089	-69.60011526824586	62.242473299200746
2024-11-01 14:45:30.000012	19:29:6.138398	26:10:57.428217	-79.39144338573574	67.40184289141592
2024-11-01 14:45:39.999998	19:51:9.112986	21:14:3.991943	-95.1554728011227	71.87017340210161
2024-11-01 14:45:49.999984	20:12:26.011107	15:54:36.572229	-118.98770913012159	74.41897770628444
2024-11-01 14:46:00.000010	20:32:42.976520	10:23:59.405238	-146.05244705249197	73.80346748940737
2024-11-01 14:46:09.999996	20:51:50.699460	4:54:37.441339	-166.92982666123626	70.37674103801514
2024-11-01 14:46:19.999982	21:9:44.252073	0:-22:-16.836920	179.85580487300373	65.55163697799658
2024-11-01 14:46:30.000008	21:26:22.400047	-5:-18:-21.850455	171.57355330689472	60.336302634368714
2024-11-01 14:46:39.999994	21:41:46.708763	-9:-48:-42.475405	166.11132458640736	55.224934892695025
2024-11-01 14:46:49.999980	21:56:0.683997	-13:-51:-30.170338	162.3039557503755	50.4350652760406
2024-11-01 14:47:00.000006	22:9:8.998329	-17:-27:-13.258340	159.5222037353108	46.04778931483289
2024-11-01 14:47:09.999992	22:21:16.893358	-20:-37:-43.582925	157.41097301723326	42.07608099575676
2024-11-01 14:47:20.000018	22:32:29.780681	-23:-25:-33.882780	155.7587560567921	38.49963113729792
2024-11-01 14:47:30.000004	22:42:52.940670	-25:-53:-28.325501	154.43314781532825	35.28366297400355
2024-11-01 14:47:39.999990	22:52:31.373972	-28:-4:-5.722113	153.3475321367057	32.388807438815924
2024-11-01 14:47:50.000017	23:1:29.702992	-29:-59:-50.822120	152.44310049289325	29.776269347408643
2024-11-01 14:48:00.000003	23:9:52.129548	-31:-42:-51.003446	151.67863495047774	27.410252728376054
2024-11-01 14:48:09.999989	23:17:42.444917	-33:-14:-56.186565	151.02442562643452	25.25881516519245
2024-11-01 14:48:20.000015	23:25:4.039966	-34:-37:-39.983948	150.4585500435172	23.294046441308367
2024-11-01 14:48:30.000001	23:31:59.928588	-35:-52:-21.515319	149.9644989700167	21.491856078798374
2024-11-01 14:48:39.999987	23:38:32.791469	-37:0:-7.528335	149.5296012419579	19.831536240556925
2024-11-01 14:48:50.000013	23:44:45.004715	-38:-1:-54.231208	149.14397919316463	18.29535526569374
2024-11-01 14:48:59.999999	23:50:38.669184	-38:-58:-28.951580	148.79982604005642	16.868154658069695
2024-11-01 14:49:09.999985	23:56:15.650688	-39:-50:-31.687864	148.49088498324514	15.536932081364988
