Date and Time, UTC	        R.A., h_m_s	     Dec, deg_m_s	     Az, deg	     Elev, deg
2024-11-01 14:14:50.000014	17:22:27.003989	13:20:49.653945	93.94111863470758	42.72401179358555
2024-11-01 14:15:00.000000	17:28:37.499002	18:54:43.838734	87.17394755534482	45.82366081634874
2024-11-01 14:15:09.999986	17:35:39.200180	24:58:5.549977	78.94219384310672	48.657001590076355
2024-11-01 14:15:20.000012	17:43:47.103163	31:26:8.547975	69.166299840983	50.92824005615631
2024-11-01 14:15:29.999998	17:53:22.302505	38:10:42.210940	58.079703833360185	52.31265877132277
2024-11-01 14:15:39.999984	18:4:55.230988	45:0:35.853435	46.33849720447996	52.56466988272461
2024-11-01 14:15:50.000010	18:19:10.920476	51:42:52.144581	34.86844935192369	51.63429776125929
2024-11-01 14:15:59.999996	18:37:17.587970	58:4:23.724726	24.47874236028329	49.694462265151635
2024-11-01 14:16:09.999982	19:1:0.126107	63:53:5.042441	15.581443325721498	47.05186525840275
2024-11-01 14:16:20.000009	19:32:57.660660	68:57:53.529982	8.208642827236789	44.02457046345398
2024-11-01 14:16:29.999995	20:16:49.566420	73:7:29.218942	2.1830887729033246	40.8664779698492
