Time(MJD)	RA	DE	AZI	ELE
60628.567	255.2877007	-28.26799603	-130.0253369	13.63859051
60628.5671	256.0351004	-27.208322	-129.5560322	14.78413409
60628.5672	256.8113163	-26.06391045	-129.0393613	16.00855452
60628.5673	257.6199894	-24.82340056	-128.4675966	17.32214623
60628.5674	258.4653287	-23.47349912	-127.8312623	18.73683812
60628.5675	259.352256	-21.99856234	-127.1185944	20.26651379
60628.5676	260.2865451	-20.38016442	-126.3148303	21.92730036
60628.5677	261.274996	-18.59660838	-125.4012232	23.73785441
60628.5678	262.3256999	-16.62230862	-124.3536049	25.71968447
60628.5679	263.4483333	-14.42721269	-123.1403523	27.89728731
60628.568	264.6545347	-11.97629062	-121.7194035	30.29798805
60628.5681	265.9584492	-9.229131779	-120.0337177	32.95129705
60628.5682	267.3773861	-6.14010826	-118.0043876	35.88707328
60628.5683	268.9326855	-2.659517895	-115.5199256	39.13163614
60628.5684	270.6509457	1.263730599	-112.4192468	42.70043118
60628.5685	272.5655432	5.676468602	-108.4651606	46.58434693
60628.5686	274.7187986	10.61199664	-103.3043472	50.72628138
60628.5687	277.1647776	16.0761066	-96.41692983	54.98256662
60628.5688	279.9729621	22.02956864	-87.09349876	59.06645643
60628.5689	283.2330421	28.37165995	-74.59500274	62.48920309
60628.569	287.0604639	34.93210867	-58.82731239	64.58049473
60628.5691	291.6017749	41.47975403	-41.38687596	64.75507256
60628.5692	297.0368366	47.74994908	-25.16178089	62.95529095
60628.5693	303.5699231	53.48131558	-12.07279384	59.70424301
60628.5694	311.3946082	58.44816534	-2.250063036	55.68561094
60628.5695	320.6122733	62.4815836	5.001985776	51.42577704
60628.5696	331.1004346	65.48377236	10.41865021	47.24309038
60628.5697	342.3992642	67.44446844	14.55283874	43.30169092
60628.5698	353.7598194	68.45208437	17.78282471	39.6705339
60628.5699	4.407950876	68.67840826	20.36249749	36.36504278
60628.57	13.82997629	68.33214222	22.46379614	33.37280298
60628.5701	21.85651268	67.60827131	24.20532451	30.6686211
60628.5702	28.56361337	66.65995083	25.67066508	28.22285596
60628.5703	34.1374308	65.59452805	26.92004336	26.00568491
60628.5704	38.78380926	64.48187464	27.99773456	23.98923559
60628.5705	42.68734466	63.36516776	28.93689546	22.14846117
60628.5706	45.99982299	62.2698469	29.76281356	20.461277
60628.5707	48.84113946	61.21007277	30.4950504	18.9085078
60628.5708	51.30459583	60.19295341	31.14897492	17.47356689
60628.5709	53.46249363	59.22129475	31.73680904	16.14217181
60628.571	55.37099034	58.29533857	32.26837883	14.90205177
60628.5711	57.07402235	57.41381503	32.75168175	13.74262584
60628.5712	58.6062158	56.57462897	33.19328385	12.65477104
60628.5713	59.99507959	55.77528618	33.59861857	11.63061763
60628.5714	61.26269857	55.01312429	33.97222915	10.66333247
60628.5715	62.42694378	54.28547819	34.31793813	9.746977644
60628.5716	63.50238598	53.58977859	34.6389797	8.876389156
60628.5717	64.50103384	52.92357779	34.93811741	8.047035699
60628.5718	65.43282786	52.28459971	35.21771647	7.254957156
60628.5719	66.30608421	51.67072646	35.47982083	6.496657958
